No,customerID,CheckingAccount,SavingAccount,CertificatesofDeposit,Mortgages,Loans,CreditCard,DebitCard,CreditScore,TotalRelationshipCount,ContactsCount12month,TotalTransactionCount,CustomerSince,Churn
5700,6719-OXYBR,Yes,No,No,No,Yes,Standart,No,612,3,3,895,4/18/2023,No
377,6158-HDPXZ,No,Yes,No,No,No,Gold,No,676,2,2,259,4/20/2023,No
1080,0455-XFASS,Yes,No,No,No,No,Standart,Premium,744,3,3,217,4/22/2023,No
997,6641-XRPSU,Yes,No,No,No,No,Platinum,Gold,657,3,3,204,4/27/2023,No
1489,8695-WDYEA,Yes,No,Yes,No,No,No,No,535,2,2,88,4/27/2023,No
2237,3420-ZDBMA,Yes,No,No,No,No,No,Premium,318,2,2,903,4/29/2023,No
3306,5144-TVGLP,Yes,Yes,No,No,No,Standart,No,833,3,3,681,4/29/2023,Yes
4998,4816-JBHOV,Yes,No,No,No,No,Standart,Standart,652,3,3,817,4/30/2023,No
92,2424-WVHPL,Yes,No,No,No,No,Standart,No,559,2,2,224,5/1/2023,No
4285,8189-XRIKE,Yes,No,No,No,No,Standart,No,606,2,2,674,5/3/2023,Yes
2479,7878-JGDKK,Yes,No,No,No,No,Gold,No,725,2,2,664,5/4/2023,No
5524,5044-LRQAQ,Yes,No,No,No,No,Premium,Premium,509,3,3,689,5/7/2023,Yes
3452,5397-TUPSH,Yes,No,No,No,No,Premium,Premium,553,3,3,405,5/8/2023,No
4950,3669-LVWZB,No,Yes,No,Yes,No,No,Premium,824,3,3,165,5/9/2023,No
1446,3211-AAPKX,Yes,Yes,No,No,No,No,Gold,512,3,3,255,5/12/2023,No
1626,1262-OPMFY,Yes,No,No,No,Yes,Premium,No,736,3,3,153,5/15/2023,No
4899,8993-PHFWD,No,Yes,No,No,No,Standart,No,520,2,2,233,5/16/2023,No
617,6464-KEXXH,No,Yes,No,No,No,Premium,Standart,788,3,3,265,5/17/2023,No
6408,6728-CZFEI,Yes,No,No,No,No,No,Premium,508,2,2,649,5/17/2023,No
5137,3295-YVUSR,Yes,Yes,No,No,No,No,Standart,483,3,3,556,5/18/2023,No
1202,6789-HJBWG,Yes,No,No,Yes,No,Standart,No,693,3,3,271,5/19/2023,Yes
3924,5275-SQEIZ,Yes,No,No,No,No,No,Standart,512,2,2,707,5/19/2023,No
5945,5995-OIGLP,Yes,No,Yes,No,No,No,No,489,2,2,116,5/19/2023,No
4378,8212-CRQXP,Yes,No,No,No,No,Platinum,Platinum,699,3,3,847,5/22/2023,Yes
1973,7892-QVYKW,Yes,Yes,No,No,No,Standart,No,792,3,3,290,5/23/2023,No
3470,9402-ORRAH,Yes,No,No,No,No,Standart,Platinum,692,3,3,863,5/23/2023,No
5751,2398-YPMUR,Yes,No,No,No,No,Standart,Platinum,646,3,3,675,5/24/2023,No
1205,6791-YBNAK,No,Yes,No,No,No,Premium,No,576,2,2,265,5/25/2023,No
858,2207-NHRJK,Yes,No,No,Yes,No,Standart,No,719,3,3,219,5/27/2023,No
5537,0778-NELLA,No,Yes,No,No,No,Premium,Premium,586,3,3,760,5/27/2023,No
5921,9355-NPPFS,Yes,No,No,No,No,Standart,Gold,710,3,3,818,5/27/2023,No
5853,3398-ZOUAA,Yes,No,No,No,No,Standart,Platinum,827,3,3,951,5/28/2023,No
3067,5652-MSDEY,Yes,Yes,No,No,No,No,Platinum,500,3,3,534,5/29/2023,Yes
4542,9058-CBREO,Yes,Yes,No,No,No,No,No,314,2,2,62,5/31/2023,No
5287,3235-ETOOB,Yes,No,Yes,No,No,Standart,No,625,3,3,103,5/31/2023,No
6747,8976-OQHGT,Yes,No,No,Yes,No,No,No,775,2,2,130,6/1/2023,No
2754,6857-VWJDT,Yes,Yes,No,No,No,No,No,387,2,2,129,6/2/2023,No
3179,2834-SPCJV,Yes,No,No,No,No,Standart,No,825,2,2,677,6/2/2023,Yes
6897,3085-QUOZK,Yes,No,No,No,No,Gold,No,602,2,2,584,6/2/2023,Yes
3258,5482-VXSXJ,Yes,No,No,Yes,No,No,Gold,799,3,3,981,6/3/2023,No
5641,5393-RXQSZ,Yes,No,No,No,No,Standart,No,541,2,2,866,6/8/2023,No
6865,5480-HPRRX,No,Yes,No,No,No,Standart,No,585,2,2,623,6/8/2023,No
5817,0374-IOEGQ,Yes,No,No,No,No,Standart,No,762,2,2,833,6/9/2023,No
1070,8883-GRDWQ,Yes,No,No,No,No,No,Premium,502,2,2,257,6/10/2023,Yes
3739,4950-BDEUX,No,Yes,No,No,Yes,Standart,No,627,3,3,706,6/10/2023,No
662,8095-WANWK,Yes,No,No,No,No,Gold,No,554,2,2,260,6/15/2023,No
5251,3338-CVVEH,Yes,Yes,No,No,No,Standart,No,835,3,3,479,6/15/2023,No
3137,3884-HCSWG,Yes,No,No,No,No,Standart,Platinum,747,3,3,933,6/21/2023,No
2928,5542-TBBWB,Yes,No,No,No,No,Standart,Standart,733,3,3,885,6/24/2023,No
5278,0345-HKJVM,Yes,No,No,No,No,Standart,No,522,2,2,122,6/29/2023,Yes
1256,4030-VPZBD,No,Yes,No,No,No,Standart,Standart,630,3,3,890,6/30/2023,No
1640,4690-LLKUA,Yes,No,No,No,No,Standart,Platinum,817,3,3,239,7/3/2023,No
3825,6402-EJMWF,Yes,No,No,No,No,No,Premium,536,2,2,820,7/9/2023,Yes
5708,4537-DKTAL,Yes,No,No,No,No,Standart,No,753,2,2,295,7/9/2023,No
2285,8963-JLGJT,Yes,No,Yes,No,Yes,No,No,833,3,3,176,7/10/2023,No
795,4257-GAESD,No,Yes,No,No,No,Premium,No,677,2,2,421,7/12/2023,No
1732,8375-DKEBR,Yes,No,No,No,No,Standart,Standart,801,3,3,787,7/12/2023,Yes
6348,7718-RXDGG,Yes,No,No,No,No,Premium,Platinum,819,3,3,481,7/12/2023,Yes
601,5839-SUYVZ,Yes,No,No,No,No,Platinum,Platinum,650,3,3,262,7/15/2023,Yes
1949,8183-ONMXC,Yes,No,No,No,No,Standart,No,790,2,2,235,7/15/2023,Yes
7004,4501-VCPFK,No,Yes,No,No,Yes,Standart,No,621,3,3,158,7/16/2023,No
1854,1612-EOHDH,Yes,No,No,No,No,Standart,No,562,2,2,295,7/17/2023,No
4545,0318-QUUOB,Yes,No,No,No,No,Standart,Standart,740,3,3,724,7/17/2023,Yes
4665,7571-YXDAD,Yes,Yes,No,No,No,Platinum,No,672,3,3,969,7/18/2023,No
3764,2959-MJHIC,Yes,No,No,No,No,Standart,Premium,731,3,3,955,7/23/2023,No
1359,9272-LSVYH,Yes,No,No,No,No,No,No,564,1,1,21,7/26/2023,No
1573,7675-OZCZG,Yes,No,No,No,No,Standart,No,846,2,2,217,7/27/2023,No
7036,8456-QDAVC,Yes,No,No,No,No,Premium,Platinum,816,3,3,800,7/27/2023,Yes
1216,9897-KXHCM,Yes,No,No,No,No,Standart,Premium,681,3,3,268,7/29/2023,Yes
6089,3063-QFSZL,Yes,No,No,No,No,Standart,Standart,744,3,3,885,7/31/2023,No
3579,4795-WRNVT,Yes,No,Yes,Yes,No,No,No,777,3,3,150,8/1/2023,No
971,7294-TMAOP,Yes,No,No,No,No,Standart,No,739,2,2,208,8/3/2023,No
6631,1226-IENZN,Yes,No,No,No,No,Standart,Platinum,744,3,3,229,8/3/2023,No
7034,9767-FFLEM,No,No,No,No,No,Platinum,No,811,1,1,793,8/5/2023,Yes
3920,9025-AOMKI,Yes,Yes,No,No,No,Premium,No,707,3,3,619,8/6/2023,No
228,2232-DMLXU,Yes,No,No,No,No,No,No,438,1,1,45,8/8/2023,No
2656,9565-DJPIB,Yes,Yes,No,Yes,No,No,No,773,3,3,82,8/8/2023,No
2752,7909-FIOIY,No,Yes,No,No,No,Gold,Premium,569,3,3,477,8/8/2023,No
2883,6652-YFFJO,Yes,No,No,No,No,Standart,No,789,2,2,799,8/12/2023,No
6823,5389-FFVKB,No,No,No,No,No,Platinum,No,818,1,1,455,8/13/2023,Yes
2816,0772-GYEQQ,Yes,No,No,No,Yes,No,Premium,771,3,3,539,8/15/2023,No
1100,6921-OZMFH,Yes,Yes,No,No,No,No,Premium,324,3,3,219,8/16/2023,No
3409,2108-YKQTY,Yes,No,No,Yes,No,Platinum,No,769,3,3,649,8/16/2023,No
951,4208-UFFGW,Yes,No,No,No,No,Gold,No,725,2,2,152,8/17/2023,No
3954,4505-EXZHB,Yes,No,No,No,Yes,Standart,No,831,3,3,828,8/17/2023,No
4481,7908-QCBCA,Yes,No,No,No,No,No,Standart,320,2,2,525,8/18/2023,No
3943,6959-UWKHF,Yes,No,No,No,No,Standart,Standart,808,3,3,616,8/20/2023,No
673,3276-HDUEG,Yes,No,No,No,No,No,Standart,510,2,2,283,8/21/2023,Yes
4359,6253-WRFHY,Yes,No,No,No,No,Standart,Premium,611,3,3,953,8/22/2023,No
3049,1728-BQDMA,Yes,No,No,No,No,Standart,No,663,2,2,438,8/23/2023,No
2189,3689-MOZGR,No,Yes,No,No,No,Standart,No,733,2,2,258,8/25/2023,Yes
4701,5365-LLFYV,Yes,No,No,No,No,Gold,Standart,798,3,3,212,8/27/2023,No
4772,1678-FYZOW,Yes,No,No,No,No,Standart,Premium,566,3,3,907,8/27/2023,No
766,4718-DHSMV,No,Yes,No,No,No,Gold,Premium,808,3,3,573,8/28/2023,No
4425,4729-XKASR,No,Yes,No,No,No,Standart,No,836,2,2,298,8/28/2023,No
3150,3629-WEAAM,Yes,No,No,No,Yes,No,No,837,2,2,54,8/29/2023,No
5605,9432-VOFYX,No,No,No,No,No,Standart,No,641,1,1,250,8/30/2023,Yes
578,8270-RKSAP,Yes,No,No,No,No,Standart,No,501,2,2,216,8/31/2023,No
4838,5134-IKDAY,Yes,No,No,No,No,Standart,Standart,589,3,3,825,9/2/2023,No
1048,4026-SKKHW,Yes,No,No,No,No,No,Standart,475,2,2,273,9/3/2023,Yes
2037,8775-ERLNB,Yes,Yes,No,No,No,Standart,No,842,3,3,294,9/3/2023,No
205,9142-KZXOP,Yes,No,No,No,No,Platinum,No,648,2,2,331,9/4/2023,No
6151,5222-IMUKT,Yes,No,No,No,No,Standart,No,745,2,2,130,9/6/2023,Yes
2066,5153-RTHKF,Yes,Yes,No,No,No,Standart,No,789,3,3,212,9/8/2023,No
3417,0603-OLQDC,Yes,No,Yes,No,No,No,Platinum,579,3,3,679,9/11/2023,No
3456,7274-RTAPZ,Yes,No,No,No,No,Standart,Standart,637,3,3,328,9/11/2023,No
3149,2452-SNHFZ,Yes,No,Yes,No,No,Platinum,No,664,3,3,138,9/12/2023,No
4790,0511-JTEOY,Yes,No,No,No,No,No,No,307,1,1,24,9/16/2023,No
4610,2519-TWKFS,Yes,Yes,No,No,No,No,Premium,460,3,3,870,9/17/2023,No
1648,5442-XSDCW,Yes,No,No,No,No,Premium,Platinum,584,3,3,234,9/19/2023,No
4214,3683-QKIUE,Yes,No,No,No,No,Premium,Premium,542,3,3,246,9/19/2023,No
5053,3255-GRXMG,Yes,No,No,No,No,Premium,No,790,2,2,365,9/22/2023,No
2775,9375-MHRRS,Yes,No,No,No,No,No,No,406,1,1,45,9/23/2023,No
1822,3536-IQCTX,Yes,No,No,No,Yes,Standart,No,609,3,3,295,9/24/2023,Yes
1964,7967-HYCDE,Yes,No,No,No,No,Premium,No,656,2,2,205,9/26/2023,No
6666,1395-OFUWC,No,Yes,No,No,No,Premium,No,547,2,2,628,9/26/2023,Yes
745,1635-FJFCC,Yes,No,No,No,No,Premium,Premium,571,3,3,555,9/30/2023,No
6427,3926-YZVVX,Yes,No,No,No,No,Premium,Premium,841,3,3,413,9/30/2023,No
1422,5357-TZHPP,Yes,Yes,No,No,No,Platinum,No,769,3,3,240,10/1/2023,No
327,5701-YVSVF,Yes,No,No,No,No,Standart,Platinum,847,3,3,222,10/3/2023,No
1756,1803-BGNBD,Yes,No,No,Yes,No,Standart,No,723,3,3,131,10/3/2023,No
6007,1360-RCYRT,No,Yes,No,No,No,Premium,No,681,2,2,998,10/5/2023,No
6059,0356-ERHVT,Yes,No,No,No,No,Premium,No,713,2,2,706,10/5/2023,No
220,6496-JDSSB,Yes,No,No,No,No,Premium,No,576,2,2,433,10/6/2023,Yes
4524,9518-XXBXE,Yes,No,Yes,No,No,Standart,No,693,3,3,962,10/7/2023,No
2337,3211-ILJTT,Yes,No,No,No,No,Premium,Platinum,573,3,3,353,10/11/2023,No
4530,0423-UDIJQ,Yes,No,No,No,No,Gold,No,707,2,2,336,10/15/2023,No
1250,2833-SLKDQ,Yes,No,No,No,No,Gold,No,801,2,2,279,10/19/2023,Yes
3032,3923-CSIHK,Yes,No,No,No,No,Standart,No,605,2,2,719,10/19/2023,Yes
366,1010-DIAUQ,Yes,No,No,No,Yes,Premium,No,716,3,3,225,10/22/2023,No
1043,7296-PIXQY,Yes,No,No,No,No,Standart,No,516,2,2,240,10/23/2023,No
5785,7401-RUBNK,Yes,No,Yes,No,No,Standart,No,655,3,3,200,10/23/2023,No
6553,9317-WZPGV,Yes,No,No,No,No,Premium,Standart,719,3,3,424,10/23/2023,No
163,4482-EWFMI,Yes,No,No,No,No,Standart,Standart,834,3,3,345,10/26/2023,No
3106,4429-WYGFR,Yes,No,No,No,No,Premium,No,689,2,2,510,10/26/2023,No
5687,4369-HTUIF,Yes,No,Yes,No,No,Premium,No,612,3,3,416,10/29/2023,Yes
1426,7077-XJMET,Yes,No,No,No,Yes,Standart,No,657,3,3,300,10/30/2023,No
5028,3247-ZVOUO,Yes,Yes,No,No,No,Standart,No,656,3,3,752,11/1/2023,No
2962,6898-MDLZW,Yes,No,No,Yes,No,No,No,795,2,2,35,11/2/2023,No
3888,4503-BDXBD,Yes,No,No,Yes,No,Standart,No,714,3,3,331,11/2/2023,No
796,5173-WXOQV,Yes,No,No,Yes,No,No,Standart,817,3,3,461,11/3/2023,No
2384,3787-TRIAL,No,Yes,No,No,No,Standart,No,718,2,2,890,11/3/2023,No
4151,0187-QSXOE,No,No,No,No,No,Standart,No,544,1,1,330,11/3/2023,Yes
4990,0909-SDHNU,No,Yes,Yes,No,No,Gold,No,651,3,3,689,11/5/2023,No
6960,1024-KPRBB,No,No,No,No,No,Standart,No,441,1,1,357,11/6/2023,Yes
3480,8229-TNIQA,No,No,No,No,No,Standart,No,752,1,1,831,11/9/2023,Yes
5644,0231-LXVAP,Yes,No,No,No,No,Standart,Standart,824,3,3,618,11/9/2023,No
474,4104-PVRPS,Yes,No,Yes,No,No,No,No,434,2,2,134,11/11/2023,No
5768,1972-XMUWV,Yes,No,No,No,No,Platinum,Standart,838,3,3,672,11/11/2023,No
6121,6218-KNUBD,Yes,No,No,Yes,No,Standart,No,660,3,3,310,11/13/2023,No
6838,6229-LSCKB,Yes,No,No,No,No,Standart,Premium,785,3,3,534,11/15/2023,No
6763,9863-JZAIC,Yes,No,No,No,No,No,No,391,1,1,98,11/16/2023,No
3634,3878-AVSOQ,Yes,No,No,No,No,Standart,Standart,843,3,3,433,11/18/2023,No
5823,9112-WSNPU,Yes,No,No,No,No,Standart,No,729,2,2,876,11/19/2023,No
1125,8791-GFXLZ,Yes,No,No,Yes,No,Premium,No,849,3,3,221,11/20/2023,No
3482,7339-POGZN,Yes,Yes,No,No,No,Standart,No,608,3,3,950,11/20/2023,No
6799,7562-UXTPG,Yes,No,No,No,No,No,Platinum,500,2,2,442,11/27/2023,No
1920,3946-MHCZW,Yes,No,No,No,Yes,No,No,712,2,2,89,11/28/2023,No
3664,4633-MKHYU,Yes,No,No,No,No,No,Platinum,564,2,2,615,11/29/2023,No
4073,2688-BHGOG,Yes,No,No,No,No,Standart,No,748,2,2,368,11/29/2023,No
4178,3470-BTGQO,Yes,No,No,No,No,Gold,No,582,2,2,131,11/30/2023,No
5510,1809-DMJHQ,Yes,No,No,No,No,Gold,No,760,2,2,318,11/30/2023,No
6849,5916-QEWPT,Yes,No,No,No,Yes,Platinum,No,614,3,3,59,11/30/2023,No
5620,4619-EVPHY,Yes,No,No,No,No,Premium,Premium,514,3,3,977,12/6/2023,No
3599,6185-TASNN,Yes,No,No,No,No,Standart,No,511,2,2,862,12/7/2023,No
4629,1202-KKGFU,Yes,No,Yes,No,No,Premium,No,540,3,3,890,12/7/2023,No
5863,9584-EXCDZ,Yes,No,No,No,No,Premium,No,669,2,2,762,12/10/2023,No
5172,3566-VVORZ,Yes,No,No,No,No,Premium,No,593,2,2,414,12/12/2023,No
6781,3640-JQGJG,Yes,No,No,No,No,Premium,No,556,2,2,672,12/12/2023,No
140,0390-DCFDQ,Yes,No,No,No,No,No,Standart,367,2,2,292,12/13/2023,No
4335,3969-GYXEL,Yes,No,Yes,No,No,Standart,No,780,3,3,735,12/13/2023,No
1357,0196-JTUQI,Yes,Yes,No,No,No,Platinum,No,642,3,3,221,12/15/2023,No
5840,2077-MPJQO,Yes,Yes,No,No,No,Standart,No,744,3,3,845,12/17/2023,No
1051,1271-SJBGZ,No,Yes,No,No,Yes,Standart,No,729,3,3,210,12/20/2023,No
2198,8548-AWOFC,Yes,Yes,No,No,No,Standart,No,604,3,3,291,12/29/2023,No
5120,6034-YMTOB,Yes,No,No,No,No,No,Premium,342,2,2,956,12/30/2023,No
780,0322-CHQRU,Yes,No,No,No,No,Standart,No,762,2,1,603,12/31/2022,Yes
5857,9873-MNDKV,Yes,No,No,No,No,Gold,Premium,510,3,1,543,12/30/2022,No
4303,9134-WYRVP,Yes,No,Yes,No,No,No,Premium,440,3,1,725,12/29/2022,No
5861,4512-ZUIYL,Yes,No,No,No,No,Premium,No,838,2,0,937,12/28/2022,Yes
2203,5931-FLJJF,Yes,No,No,No,No,No,Premium,500,2,0,770,12/26/2022,Yes
6611,9696-RMYBA,Yes,No,No,No,No,No,Premium,355,2,1,577,12/26/2022,No
6727,0685-MLYYM,Yes,No,No,No,No,Standart,No,654,2,0,529,12/26/2022,Yes
5520,2043-WVTQJ,Yes,No,Yes,No,Yes,No,No,758,3,2,153,12/25/2022,No
2971,2815-CPTUL,Yes,No,No,No,No,No,Premium,437,2,0,259,12/22/2022,Yes
5502,4987-GQWPO,No,Yes,No,No,No,Premium,No,769,2,0,349,12/21/2022,No
3022,6377-KSLXC,Yes,No,No,Yes,No ,Gold,No,755,4,0,745,12/20/2022,No
5903,7054-ENNGU,Yes,No,No,Yes,No,No,No,826,2,1,39,12/20/2022,No
5156,8294-UIMBA,Yes,No,No,No,No,Premium,Premium,595,3,0,774,12/19/2022,No
4813,5174-RNGBH,Yes,No,No,Yes,No,No,No,344,2,0,106,12/18/2022,Yes
1986,8901-HJXTF,No,Yes,No,Yes,No,Gold,No,503,3,1,224,12/17/2022,Yes
3732,2897-DOVND,Yes,No,No,No,No,Standart,Standart,621,3,1,512,12/16/2022,No
5429,7394-FKDNK,Yes,No,No,No,No,Standart,No,520,2,0,878,12/15/2022,Yes
4166,9741-YLNTD,Yes,Yes,No,No,No,Premium,No,703,3,0,563,12/14/2022,No
289,3488-PGMQJ,Yes,No,No,Yes,No,Standart,No,795,3,1,208,12/10/2022,Yes
1550,4237-RLAQD,Yes,No,No,No,No,Gold,Standart,735,3,1,240,12/7/2022,Yes
3683,3716-BDVDB,Yes,No,No,No,No,Standart,Standart,834,3,1,508,12/7/2022,Yes
1342,9269-CQOOL,Yes,No,No,No,No,Platinum,Standart,808,3,0,291,12/6/2022,Yes
3051,0876-WDUUZ,Yes,No,No,No,No,Platinum,Premium,781,3,2,326,12/6/2022,Yes
177,2656-FMOKZ,Yes,Yes,No,No,No,No,Platinum,343,3,2,439,12/3/2022,Yes
78,5590-ZSKRV,Yes,No,Yes,Yes,No,No,No,820,3,2,76,12/2/2022,No
1634,1478-VPOAD,Yes,No,No,No,No,Standart,No,822,2,0,634,12/1/2022,No
1892,4193-ORFCL,Yes,No,No,No,No,Gold,No,752,2,0,860,12/1/2022,Yes
